Row Labels,Sum of usd pledged,,,,,Row Labels,Count of category,,Row Labels,Average of usd pledged
Art,71341309.82,,,,,3D Printing,683,,3D Printing,52103.44437
Comics,57816918.4,,,,,Academic,916,,Academic,1407.115666
Crafts,10387490.16,,,,,Accessories,3165,,Accessories,4388.307372
Dance,11161583.89,,,,,Action,740,,Action,2957.936216
Design,512132010,,,,,Animals,255,,Animals,2345.198863
Fashion,97629228.88,,,,,Animation,2541,,Animation,8420.149736
Film & Video,346876031,,,,,Anthologies,784,,Anthologies,6805.039809
Food,103560172.7,,,,,Apparel,7166,,Apparel,3474.465089
Games,574402020.9,,,,,Apps,6345,,Apps,1148.679794
Journalism,10252217.02,,,,,Architecture,760,,Architecture,3806.677474
Music,166265791.1,,,,,Art,8253,,Art,2932.295249
Photography,30171720,,,,,Art Books,2676,,Art Books,6869.513662
Publishing,103713884.1,,,,,Audio,410,,Audio,2665.198854
Technology,503320829.4,,,,,Bacon,221,,Bacon,1220.052081
Theater,38785122.71,,,,,Blues,268,,Blues,2902.151716
Grand Total,2637816330,,,,,Calendars,329,,Calendars,2265.219271
,,,,,,Camera Equipment,416,,Camera Equipment,45949.8287
,,,,,,Candles,429,,Candles,460.7779021
,,,,,,Ceramics,305,,Ceramics,3460.919836
,,,,,,Children's Books,6756,,Children's Books,2643.443459
,,,,,,Childrenswear,483,,Childrenswear,2624.604969
,,,,,,Chiptune,35,,Chiptune,17413.88486
,,,,,,Civic Design,289,,Civic Design,8513.295848
,,,,,,Classical Music,2613,,Classical Music,3993.431359
,,,,,,Comedy,2320,,Comedy,4399.240341
,,,,,,Comic Books,2743,,Comic Books,2333.819486
,,,,,,Comics,4996,,Comics,6121.383433
,,,,,,Community Gardens,298,,Community Gardens,1429.11594
,,,,,,Conceptual Art,1030,,Conceptual Art,1417.431534
,,,,,,Cookbooks,540,,Cookbooks,3959.52313
,,,,,,Country & Folk,4451,,Country & Folk,4178.801842
,,,,,,Couture,275,,Couture,1115.3652
,,,,,,Crafts,4664,,Crafts,1286.552684
,,,,,,Crochet,162,,Crochet,268.8665432
,,,,,,Dance,2322,,Dance,3357.213873
,,,,,,Design,4199,,Design,10728.09285
,,,,,,Digital Art,1346,,Digital Art,1603.850906
,,,,,,DIY,1173,,DIY,785.5397783
,,,,,,DIY Electronics,902,,DIY Electronics,18773.5555
,,,,,,Documentary,16139,,Documentary,7664.975913
,,,,,,Drama,2179,,Drama,3268.247222
,,,,,,Drinks,2422,,Drinks,4687.422535
